declon,declat,
-75.438889,-9.490451,
-75.456749,-9.424021,
-75.304885,-9.292685,
-75.078138,-9.494649,
-75.077073,-9.4994,
-72.651508,-11.087537,
-72.563845,-11.111069,
-72.687067,-11.103289,
-72.569312,-11.107572,
-72.755354,-10.962612,
-72.756178,-10.967554,
-72.691341,-11.104631,
-72.672455,-11.05412,
-82.548825,-8.298935,
-58.340811,-33.1273,
-75.469848,-9.459859,
-75.269906,-9.286216,
-75.451467,-9.429706,
-77.592208,-1.050704,
-64.072838,-9.082659,
-34.860161,-7.94187,
N/A,N/A,
N/A,N/A,
-80.161519,-0.854028,
-35.305157,-5.70183,
-42.574167,-14.267222,
-79.787383,-0.439897,
-61.145834,-30.206326,
-80.321825,-0.273766,
-77.522627,-1.08257,
-78.067826,-1.407281,
-77.021904,-0.535831,
-76.742412,-8.0853,
-78.067826,-1.407281,
-48.35756,-21.201122,
-76.2775,-0.50247,
-77.06673,-0.63898,
-77.11846,-0.63266,
-77.11846,-0.63266,
-77.07826,-0.43919,
-76.2957,-0.47677,
-76278,-0.48547,
-76279,-0.47597,
-76279,-0.47597,
-76279,-0.47597,
-77.502608,-1.067485,
-60.468362,-31.507947,
-61.015541,-30.175982,
-60.126178,-30.015957,
-75.836737,-6.102384,
N/A,N/A,
N/A,N/A,N/A
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-77.5259,-1.086632,
-58.207601,-31.866779,
-59.133932,-28.528284,
-52.26,-4.54,
-52.26,-4.54,
-52.26,-4.54,
-52.26,-4.54,
-52.26,-4.54,
-52.26,-4.54,
-52.26,-4.54,
-51.7,-4.4,
-52.95,-5.4,
-51.69,-4.38,
-52.45,-4.98,
-53.9,-5.75,
-53.37,-4.58,
-53.09,-5.43,
-56.613616,-16.879024,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.771529,-32.111934,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752719,-32.192251,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-53.752056,-32.134864,
-54.124932,-26.632018,
-34.859083,-7.916828,
-74.849444,-11.046389,
-61.442385,-10.605264,
-47.331508,-22.32773,
-60.516694,-31.232994,
-53.7388,-22.9126,
-55.086256,-34.365384,
-48.570379,-20.553337,
-77.459968,-1.039223,
-77.496537,-1.061778,
-61.440697,-10.591096,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-75.836525,-5.619167,
-72.52146,-11.150565,
-72.518175,-11.148478,
-73.938807,-9.52087,
-73.705548,-6.831091,
-60.845966,-28.711706,
-60.583449,-31.31581,
-53.540226,-33.936958,
-52.3069,-4.47714,
-58.129169,-31.448661,
-64.866831,-23.671574,
-59.523509,-24.808891,
-58.236573,-32.177035,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-76.325841,-0.51008,
-73.694853,-6.82946,
-54.544781,-34.754387,
-76.728802,-5.128642,
-75.001972,-5.30795,
-75.671028,-4.893528,
-73.338469,-9.560656,
-74.768932,-5.657247,
-75.563302,-5.298747,
-75.499167,-5.124167,
-74.788222,-5.668944,
-74.78893,-5.684625,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-52.013611,-31.301944,
-54.983333,-30.239722,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-54.87993,-30.24033,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-55.17092,-30.77548,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-55.23322,-30.141553,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-74.279278,-5.948361,
-77.519049,-1.078282,
-77.527102,-1.084154,
-58.092903,-31.428701,
-53.767067,-32.144762,
N/A,N/A,
N/A,N/A,
N/A,N/A,
-77.514369,-1.080426,
-55.306262,-34.428594,
-77.50903,-1.05377,
-77.527402,-1.090943,
-77.526202,-1.084938,
-77.527789,-1.075779,
-77.527867,-1.08619,
-77.498083,-1.064242,
-77.533083,-1.094847,
-80.127669,-0.113967,
-77.528606,-1.091332,
-77.568569,-1.057334,
-77.529271,-1.090352,
-77.530123,-1.090902,
-77.522431,-1.082589,
-77.525282,-1.083574,
-77.52974,-1.09091,
-82.817688,-9.737482,
-84.141541,-9.383694,
-56.962406,-19.494648,
-55.965729,-20.095917,
-82.817688,-9.737482,
-82.836578,-9.735279,
-84.141541,-9.383694,
-84.141541,-9.383694,
-84.141541,-9.383694,
